"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",4337.276,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",1746.848,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",1749.471,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",1744.083,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",4630.84,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",4619.363,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",4625.396,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-34","15-34 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",6077.162,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-34","15-34 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",6073.491,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-34","15-34 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",6081.359,,
"IT","Italia","INAC","inattivi (migliaia)","1","maschi","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",4799.199,,
"IT","Italia","INAC","inattivi (migliaia)","1","maschi","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",4782.088,,
"IT","Italia","INAC","inattivi (migliaia)","1","maschi","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",4781.656,,
"IT","Italia","INAC","inattivi (migliaia)","2","femmine","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",8415.213,,
"IT","Italia","INAC","inattivi (migliaia)","2","femmine","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",8397.466,,
"IT","Italia","INAC","inattivi (migliaia)","2","femmine","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",8375.685,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",13214.412,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",13179.554,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",13157.341,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE50","50 anni e più","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",17493.414,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE50","50 anni e più","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",17482.917,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE50","50 anni e più","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",17500.549,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y35-49","35-49 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",2506.41,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y35-49","35-49 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",2486.7,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y35-49","35-49 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",2450.586,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M3G12","12-Mar-2020","2019-Q1","T1-2019",26069.514,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M3G12","12-Mar-2020","2019-Q2","T2-2019",26042.822,,
