"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","CORREZ","Correzione","ETA1","Classe di età","POSIZPROF","Posizione professionale","CARATT_OCC","Carattere occupazione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","9","totale","9","totale","2020M4G1","01-Apr-2020","2020-02","Feb-2020",22966.835,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","1","dipendenti","9","totale","2020M4G1","01-Apr-2020","2020-01","Gen-2020",18051.473,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","1","dipendenti","9","totale","2020M4G1","01-Apr-2020","2020-02","Feb-2020",18045.772,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","2","indipendenti","9","totale","2020M4G1","01-Apr-2020","2020-01","Gen-2020",5220.13,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","2","indipendenti","9","totale","2020M4G1","01-Apr-2020","2020-02","Feb-2020",5216.137,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","9","totale","9","totale","2020M4G1","01-Apr-2020","2020-01","Gen-2020",23271.603,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","9","totale","9","totale","2020M4G1","01-Apr-2020","2020-02","Feb-2020",23261.909,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2020M4G30","30-Apr-2020","2020-01","Gen-2020",2812.115,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2020M4G30","30-Apr-2020","2020-02","Feb-2020",2879.671,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","2","tempo indeterminato","2020M4G30","30-Apr-2020","2020-01","Gen-2020",15034.255,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","2","tempo indeterminato","2020M4G30","30-Apr-2020","2020-02","Feb-2020",14873.718,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","9","totale","2020M4G30","30-Apr-2020","2020-01","Gen-2020",17846.37,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","9","totale","2020M4G30","30-Apr-2020","2020-02","Feb-2020",17753.389,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","2","indipendenti","9","totale","2020M4G30","30-Apr-2020","2020-01","Gen-2020",5152.696,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","2","indipendenti","9","totale","2020M4G30","30-Apr-2020","2020-02","Feb-2020",5213.446,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","9","totale","9","totale","2020M4G30","30-Apr-2020","2020-01","Gen-2020",22999.066,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","9","totale","9","totale","2020M4G30","30-Apr-2020","2020-02","Feb-2020",22966.835,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","9","totale","9","totale","2020M4G30","30-Apr-2020","2020-03","Mar-2020",23019.181,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","9","totale","9","totale","2020M4G30","30-Apr-2020","2020-01","Gen-2020",23245.945,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","9","totale","9","totale","2020M4G30","30-Apr-2020","2020-02","Feb-2020",23261.495,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","9","totale","9","totale","2020M4G30","30-Apr-2020","2020-03","Mar-2020",23234.169,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2020M6G3","03-Giu-2020","2020-01","Gen-2020",2840.172,,
