"ITTER107","Territorio","TIPO_DATO_SEQNZCONTI1","Tipo aggregato (milioni di euro)","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M4_1","Apr-2020 (stima preliminare)","2019-Q2","T2-2019",0.37,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M4_1","Apr-2020 (stima preliminare)","2019-Q4","T4-2019",0.136,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M4_1","Apr-2020 (stima preliminare)","2019-Q3","T3-2019",0.493,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M4_1","Apr-2020 (stima preliminare)","2020-Q1","T1-2020",-4.809,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M4_1","Apr-2020 (stima preliminare)","2019-Q1","T1-2019",430513.4,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M4_1","Apr-2020 (stima preliminare)","2019-Q2","T2-2019",431071,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M4_1","Apr-2020 (stima preliminare)","2019-Q4","T4-2019",430244.4,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M4_1","Apr-2020 (stima preliminare)","2019-Q3","T3-2019",431360.5,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M4_1","Apr-2020 (stima preliminare)","2020-Q1","T1-2020",409810.2,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2019-Q1","T1-2019",0.198,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2019-Q2","T2-2019",0.105,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2019-Q4","T4-2019",-0.229,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2019-Q3","T3-2019",0.005,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2020-Q2","T2-2020",-12.358,,
